TCGA_BR_PFS	TCGA_BR_OS	META_BR_PFS	META_BR_OS	TCGA_SKCM_PFS	TCGA_SKCM_OS	TCGA_LUAD_PFS	TCGA_LUAD_OS	TCGA_LUSC_PFS	TCGA_LUSC_OS	TCGA_HNSC_PFS	TCGA_HNSC_OS	TCGA_COAD_PFS	TCGA_COAD_OS	TCGA_KIRC_PFS	TCGA_KIRC_OS	train_prop	ntrees	PC
0.729177185	0.569649112	0.119710083	0.042220602	0.060173849	0.066483153	0.585563795	0.890469381	0.234335791	0.361873335	0.216402308	0.104553055	0.146319964	0.933052025	0.201611126	0.08698272	30	500	1
0.555135201	0.252187207	0.516858101	0.356757705	0.055015754	0.034940895	0.555954962	0.8666006	0.48500738	0.669186137	0.122401258	0.138498201	0.95847739	0.792423436	0.214260659	0.032420574	35	10	1
0.535556732	0.171716484	0.236052636	0.10138345	0.105418626	0.273811232	0.969216706	0.794833707	0.513746544	0.752403546	0.116612452	0.34050503	0.65176525	0.92906911	0.002207165	0.004012003	35	15	1
0.710489902	0.224879142	0.142874637	0.064092417	0.261873854	0.246695046	0.578615185	0.291305213	0.638433737	0.890239281	0.227851862	0.304744625	0.500257216	0.778650977	0.001713841	0.002979447	35	25	1
0.738565665	0.54869511	0.197984788	0.077271726	0.170446854	0.346453767	0.810997553	0.868067035	0.222873416	0.311642988	0.32580378	0.406420318	0.198082282	0.775471854	0.428519626	0.110278582	35	50	1
0.826529608	0.599380349	0.20724616	0.090701261	0.070851887	0.168496154	0.587422033	0.865709507	0.760745155	0.880597855	0.525029027	0.626500871	0.335246056	0.771848595	0.269192439	0.107865066	35	75	1
0.56344601	0.415225255	0.151405252	0.071543226	0.086759707	0.121567883	0.460024014	0.740624726	0.403720779	0.511186681	0.353662998	0.347394974	0.277936799	0.713675621	0.236997471	0.086156509	35	100	1
0.515529036	0.411401117	0.11697202	0.061062057	0.052681518	0.149769264	0.365437437	0.683903874	0.397277627	0.519107681	0.26121376	0.20816976	0.14530946	0.744715599	0.144720178	0.048736365	35	175	1
0.626596387	0.505956212	0.119619447	0.060296412	0.052681518	0.149769264	0.34587059	0.728145063	0.510564246	0.618425631	0.163541068	0.149195432	0.256063042	0.905896954	0.168849748	0.06319267	35	190	1
0.626596387	0.505956212	0.070175488	0.035568315	0.052681518	0.149769264	0.466947782	0.874809379	0.440142771	0.554897552	0.163541068	0.149195432	0.23362314	0.880108531	0.168849748	0.06319267	35	200	1
0.515529036	0.411401117	0.118065382	0.062601061	0.052681518	0.149769264	0.651312792	0.987159341	0.488317895	0.637726128	0.153389854	0.111795286	0.179475296	0.801307369	0.236997471	0.086156509	35	225	1
0.515529036	0.411401117	0.083820073	0.039749027	0.052681518	0.149769264	0.594877636	0.949646632	0.542329173	0.61483414	0.108071758	0.103631409	0.268619576	0.784981298	0.333707745	0.137995506	35	250	1
0.533369225	0.419786363	0.109795128	0.05302536	0.025962326	0.07506519	0.579378809	0.997190585	0.543655257	0.688967715	0.134415954	0.156145244	0.25917086	0.778993014	0.263342544	0.105024389	35	275	1
0.515529036	0.411401117	0.101907502	0.045150082	0.052681518	0.149769264	0.639672334	0.977637655	0.522581176	0.6704596	0.191958245	0.186764192	0.208086088	0.841458715	0.230732991	0.092822231	35	300	1
0.465953727	0.384244486	0.1330577	0.058626917	0.025962326	0.07506519	0.521195927	0.850243639	0.227551871	0.284238962	0.190587024	0.177508031	0.294116516	0.809372831	0.230732991	0.092822231	35	325	1
0.533369225	0.419786363	0.151023414	0.067012438	0.025962326	0.07506519	0.535153652	0.867330535	0.279440348	0.373362431	0.232676422	0.219750834	0.393407205	0.776382838	0.227827274	0.094494303	35	350	1
0.558552286	0.264901869	0.116434137	0.047776084	0.025962326	0.07506519	0.452295311	0.758566154	0.278023912	0.3453852	0.122065482	0.116816496	0.419459901	0.800498894	0.194301577	0.07218597	35	375	1
